Entidad,Municipio, Porcentaje2020 , Personas2020 
Aguascalientes,Aguascalientes, 15.77 ," 145,444.00 "
Aguascalientes,Asientos, 28.52 ," 13,870.00 "
Aguascalientes,Calvillo, 20.15 ," 10,552.00 "
Aguascalientes,Cosío, 24.97 ," 3,980.00 "
Aguascalientes,Jesús María, 17.93 ," 22,945.00 "
Aguascalientes,Pabellón de Arteaga, 16.63 ," 7,501.00 "
Aguascalientes,Rincón de Romos, 23.82 ," 12,825.00 "
Aguascalientes,San José de Gracia, 10.51 , 967.00 
Aguascalientes,Tepezalá, 21.88 ," 4,572.00 "
Aguascalientes,El Llano, 24.40 ," 4,924.00 "
Aguascalientes,San Francisco de los Romo, 21.19 ," 12,044.00 "
Baja California,Ensenada, 12.47 ," 55,151.00 "
Baja California,Mexicali, 10.73 ," 110,450.00 "
Baja California,Tecate, 11.01 ," 11,984.00 "
Baja California,Tijuana, 13.55 ," 259,353.00 "
Baja California,Playas de Rosarito, 9.84 ," 12,850.00 "
Baja California,San Quintín, 20.51 ," 24,129.00 "
Baja California Sur,Comondú, 24.17 ," 18,935.00 "
Baja California Sur,Mulegé, 15.56 ," 10,878.00 "
Baja California Sur,La Paz, 22.65 ," 73,906.00 "
Baja California Sur,Los Cabos, 23.83 ," 93,312.00 "
Baja California Sur,Loreto, 21.25 ," 4,098.00 "
Campeche,Calkiní, 26.99 ," 17,783.00 "
Campeche,Campeche, 19.36 ," 59,270.00 "
Campeche,Carmen, 27.78 ," 70,611.00 "
Campeche,Champotón, 28.38 ," 23,548.00 "
Campeche,Hecelchakán, 26.52 ," 9,959.00 "
Campeche,Hopelchén, 16.00 ," 7,966.00 "
Campeche,Palizada, 15.96 ," 1,485.00 "
Campeche,Tenabo, 28.04 ," 3,390.00 "
Campeche,Escárcega, 25.31 ," 16,494.00 "
Campeche,Calakmul, 35.19 ," 14,207.00 "
Campeche,Candelaria, 27.70 ," 15,335.00 "
Campeche,Seybaplaya, n.d. , n.d. 
Coahuila de Zaragoza,Abasolo, 6.24 , 64.00 
Coahuila de Zaragoza,Acuña, 15.01 ," 24,600.00 "
Coahuila de Zaragoza,Allende, 7.57 ," 1,722.00 "
Coahuila de Zaragoza,Arteaga, 18.10 ," 6,117.00 "
Coahuila de Zaragoza,Candela, 21.70 , 356.00 
Coahuila de Zaragoza,Castaños, 13.60 ," 3,867.00 "
Coahuila de Zaragoza,Cuatro Ciénegas, 13.81 ," 1,765.00 "
Coahuila de Zaragoza,Escobedo, 23.79 , 723.00 
Coahuila de Zaragoza,Francisco I. Madero, 29.95 ," 18,708.00 "
Coahuila de Zaragoza,Frontera, 13.85 ," 10,812.00 "
Coahuila de Zaragoza,General Cepeda, 14.46 ," 1,648.00 "
Coahuila de Zaragoza,Guerrero, 36.70 , 601.00 
Coahuila de Zaragoza,Hidalgo, 41.36 , 716.00 
Coahuila de Zaragoza,Jiménez, 31.22 ," 2,959.00 "
Coahuila de Zaragoza,Juárez, 12.17 , 192.00 
Coahuila de Zaragoza,Lamadrid, 5.75 , 101.00 
Coahuila de Zaragoza,Matamoros, 24.92 ," 30,566.00 "
Coahuila de Zaragoza,Monclova, 17.89 ," 42,488.00 "
Coahuila de Zaragoza,Morelos, 15.48 ," 1,224.00 "
Coahuila de Zaragoza,Múzquiz, 17.44 ," 12,102.00 "
Coahuila de Zaragoza,Nadadores, 8.09 , 528.00 
Coahuila de Zaragoza,Nava, 9.98 ," 3,140.00 "
Coahuila de Zaragoza,Ocampo, 35.36 ," 3,401.00 "
Coahuila de Zaragoza,Parras, 20.84 ," 9,096.00 "
Coahuila de Zaragoza,Piedras Negras, 14.44 ," 25,861.00 "
Coahuila de Zaragoza,Progreso, 30.30 , 979.00 
Coahuila de Zaragoza,Ramos Arizpe, 11.13 ," 13,552.00 "
Coahuila de Zaragoza,Sabinas, 9.97 ," 6,137.00 "
Coahuila de Zaragoza,Sacramento, 11.65 , 287.00 
Coahuila de Zaragoza,Saltillo, 11.11 ," 96,884.00 "
Coahuila de Zaragoza,San Buenaventura, 11.87 ," 2,870.00 "
Coahuila de Zaragoza,San Juan de Sabinas, 7.70 ," 2,942.00 "
Coahuila de Zaragoza,San Pedro, 29.31 ," 30,734.00 "
Coahuila de Zaragoza,Sierra Mojada, 12.94 , 871.00 
Coahuila de Zaragoza,Torreón, 15.02 ," 108,167.00 "
Coahuila de Zaragoza,Viesca, 33.66 ," 7,042.00 "
Coahuila de Zaragoza,Villa Unión, 9.90 , 611.00 
Coahuila de Zaragoza,Zaragoza, 24.42 ," 3,195.00 "
Colima,Armería, 23.20 ," 6,587.00 "
Colima,Colima, 17.17 ," 29,055.00 "
Colima,Comala, 20.67 ," 4,917.00 "
Colima,Coquimatlán, 20.00 ," 4,589.00 "
Colima,Cuauhtémoc, 15.98 ," 5,301.00 "
Colima,Ixtlahuacán, 21.15 ," 1,278.00 "
Colima,Manzanillo, 11.24 ," 23,053.00 "
Colima,Minatitlán, 17.54 ," 2,017.00 "
Colima,Tecomán, 26.34 ," 32,317.00 "
Colima,Villa de Álvarez, 13.06 ," 21,306.00 "
Chiapas,Acacoyagua, 18.07 ," 3,748.00 "
Chiapas,Acala, 31.27 ," 5,486.00 "
Chiapas,Acapetahua, 15.13 ," 4,614.00 "
Chiapas,Altamirano, 20.38 ," 7,171.00 "
Chiapas,Amatán, 14.80 ," 3,910.00 "
Chiapas,Amatenango de la Frontera, 11.68 ," 3,841.00 "
Chiapas,Amatenango del Valle, 4.26 , 485.00 
Chiapas,Angel Albino Corzo, 15.72 ," 4,762.00 "
Chiapas,Arriaga, 34.94 ," 15,479.00 "
Chiapas,Bejucal de Ocampo, 2.58 , 192.00 
Chiapas,Bella Vista, 16.10 ," 3,164.00 "
Chiapas,Berriozábal, 18.97 ," 13,074.00 "
Chiapas,Bochil, 40.91 ," 14,385.00 "
Chiapas,El Bosque, 16.33 ," 4,002.00 "
Chiapas,Cacahoatán, 20.37 ," 10,434.00 "
Chiapas,Catazajá, 37.06 ," 8,174.00 "
Chiapas,Cintalapa, 19.89 ," 17,544.00 "
Chiapas,Coapilla, 21.50 ," 2,149.00 "
Chiapas,Comitán de Domínguez, 22.86 ," 38,477.00 "
Chiapas,La Concordia, 26.29 ," 13,678.00 "
Chiapas,Copainalá, 10.09 ," 2,255.00 "
Chiapas,Chalchihuitán, 28.80 ," 6,374.00 "
Chiapas,Chamula, 13.67 ," 14,080.00 "
Chiapas,Chanal, 29.27 ," 4,043.00 "
Chiapas,Chapultenango, 14.68 ," 1,108.00 "
Chiapas,Chenalhó, 11.36 ," 5,433.00 "
Chiapas,Chiapa de Corzo, 24.99 ," 26,975.00 "
Chiapas,Chiapilla, 22.72 ," 1,412.00 "
Chiapas,Chicoasén, 19.52 ," 1,065.00 "
Chiapas,Chicomuselo, 25.80 ," 9,600.00 "
Chiapas,Chilón, 4.91 ," 6,648.00 "
Chiapas,Escuintla, 18.20 ," 5,693.00 "
Chiapas,Francisco León, 17.98 ," 1,315.00 "
Chiapas,Frontera Comalapa, 25.27 ," 22,263.00 "
Chiapas,Frontera Hidalgo, 29.89 ," 4,716.00 "
Chiapas,La Grandeza, 1.94 , 151.00 
Chiapas,Huehuetán, 20.99 ," 9,089.00 "
Chiapas,Huixtán, 29.29 ," 6,504.00 "
Chiapas,Huitiupán, 27.18 ," 7,376.00 "
Chiapas,Huixtla, 21.98 ," 12,871.00 "
Chiapas,La Independencia, 22.19 ," 10,797.00 "
Chiapas,Ixhuatán, 27.05 ," 3,063.00 "
Chiapas,Ixtacomitán, 16.26 ," 2,058.00 "
Chiapas,Ixtapa, 43.38 ," 12,240.00 "
Chiapas,Ixtapangajoya, 16.74 ," 1,063.00 "
Chiapas,Jiquipilas, 30.51 ," 13,883.00 "
Chiapas,Jitotol, 13.70 ," 3,859.00 "
Chiapas,Juárez, 25.54 ," 6,855.00 "
Chiapas,Larráinzar, 10.21 ," 3,222.00 "
Chiapas,La Libertad, 38.22 ," 2,019.00 "
Chiapas,Mapastepec, 23.84 ," 12,557.00 "
Chiapas,Las Margaritas, 7.46 ," 9,476.00 "
Chiapas,Mazapa de Madero, 15.59 ," 1,244.00 "
